Type,Relateret produkt nummer,Varenummer,Produktnavn,Indskriv varianter adskilt med komma,Farve,Str.,Smagsvariant,Kort beskrivelse,Lang beskrivelse,vægt,Pris,Special pris,kategori
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-dame-config,YKK3785102,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Crystal White,51,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-dame-config,YKK3785502,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Crystal White,55,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-dame-config,YKK3785103,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Opal Green,51,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-dame-config,YKK3785503,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Opal Green,55,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
config,,2015-kildemoes-logic-sport-16gear-mekanisk-disc-herre-config,2015 Kildemoes Logic Sport 16 Gear Mekanisk Disc,,,,,Smart sportscykel med udvendige gear og skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, mekaniske skivebremser, X3 dæk 700x25c.",10kg,"5,999.00",,"HERRE, Sportscykler"
simple,2015-kildemoes-logic-sport-16gear-mekanisk-disc-herre-config,YKK3465501,2015 Kildemoes Logic Sport 16 Gear Mekanisk Disc,"str, farve",Platinum Matt,55,,Smart sportscykel med udvendige gear og skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, mekaniske skivebremser, X3 dæk 700x25c.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-16gear-mekanisk-disc-herre-config,YKK3465901,2015 Kildemoes Logic Sport 16 Gear Mekanisk Disc,"str, farve",Platinum Matt,59,,Smart sportscykel med udvendige gear og skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, mekaniske skivebremser, X3 dæk 700x25c.",10kg,"5,999.00",,
config,,2015-kildemoes-logic-sport-16gear-mekanisk-disc-dame-config,2015 Kildemoes Logic Sport 16 Gear Mekanisk Disc,,,,,Smart sportscykel med udvendige gear og skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, mekaniske skivebremser, X3 dæk 700x25c.",10kg,"5,999.00",,"DAME, Sportscykler"
simple,2015-kildemoes-logic-sport-16gear-mekanisk-disc-dame-config,YKK3565101,2015 Kildemoes Logic Sport 16 Gear Mekanisk Disc,"str, farve",Platinum Matt,51,,Smart sportscykel med udvendige gear og skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, mekaniske skivebremser, X3 dæk 700x25c.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-16gear-mekanisk-disc-dame-config,YKK3565501,2015 Kildemoes Logic Sport 16 Gear Mekanisk Disc,"str, farve",Platinum Matt,55,,Smart sportscykel med udvendige gear og skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, mekaniske skivebremser, X3 dæk 700x25c.",10kg,"5,999.00",,
config,,2015-kildemoes-logic-sport-16gear-hydraulisk-disc-herre-config,2015 Kildemoes Logic Sport 16 Gear Hydralisk Disc,,,,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c.",10kg,"6,299.00",,"HERRE, Sportscykler"
simple,2015-kildemoes-logic-sport-16gear-hydraulisk-disc-herre-config,YKK3265501,2015 Kildemoes Logic Sport 16 Gear Hydralisk Disc,"str, farve",Cadet Blue Matt,55,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c.",10kg,"6,299.00",,
simple,2015-kildemoes-logic-sport-16gear-hydraulisk-disc-herre-config,YKK3265901,2015 Kildemoes Logic Sport 16 Gear Hydralisk Disc,"str, farve",Cadet Blue Matt,59,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c.",10kg,"6,299.00",,
config,,2015-kildemoes-logic-sport-16gear-hydraulisk-disc-dame-config,2015 Kildemoes Logic Sport 16 Gear Hydralisk Disc,,,,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c.",10kg,"6,299.00",,"DAME, Sportscykler"
simple,2015-kildemoes-logic-sport-16gear-hydraulisk-disc-dame-config,YKK3365101,2015 Kildemoes Logic Sport 16 Gear Hydralisk Disc,"str, farve",Crystal Blue Matt,51,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c.",10kg,"6,299.00",,
simple,2015-kildemoes-logic-sport-16gear-hydraulisk-disc-dame-config,YKK3365501,2015 Kildemoes Logic Sport 16 Gear Hydralisk Disc,"str, farve",Crystal Blue Matt,55,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c.",10kg,"6,299.00",,
config,,2015-kildemoes-logic-sport-20gear-hydraulisk-disc-herre-config,2015 Kildemoes Logic Sport 20 Gear Hydralisk Disc,,,,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 20 Shimano Tiagra gear, hydrauliske skivebremser, X3 dæk 700x25c.",10kg,"6,999.00",,"HERRE, Sportscykler"
simple,2015-kildemoes-logic-sport-20gear-hydraulisk-disc-herre-config,YKK3605501,2015 Kildemoes Logic Sport 20 Gear Hydralisk Disc,"str, farve",Silver Pearl,55,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 20 Shimano Tiagra gear, hydrauliske skivebremser, X3 dæk 700x25c.",10kg,"6,999.00",,
simple,2015-kildemoes-logic-sport-20gear-hydraulisk-disc-herre-config,YKK3605901,2015 Kildemoes Logic Sport 20 Gear Hydralisk Disc,"str, farve",Silver Pearl,59,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 20 Shimano Tiagra gear, hydrauliske skivebremser, X3 dæk 700x25c.",10kg,"6,999.00",,
config,,2015-kildemoes-Street-Flow-7gear-herre-config,2015 Kildemoes Street Flow 7 Gear,,,,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,"HERRE, Citybikes&klassik"
simple,2015-kildemoes-Street-Flow-7gear-herre-config,YKK7474701,2015 Kildemoes Street Flow 7 Gear,"str, farve",Panther Black Matt,47,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
simple,2015-kildemoes-Street-Flow-7gear-herre-config,YKK7475101,2015 Kildemoes Street Flow 7 Gear,"str, farve",Panther Black Matt,51,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
simple,2015-kildemoes-Street-Flow-7gear-herre-config,YKK7475501,2015 Kildemoes Street Flow 7 Gear,"str, farve",Panther Black Matt,55,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
simple,2015-kildemoes-Street-Flow-7gear-herre-config,YKK7475901,2015 Kildemoes Street Flow 7 Gear,"str, farve",Panther Black Matt,59,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
simple,2015-kildemoes-Street-Flow-7gear-herre-config,YKK7476201,2015 Kildemoes Street Flow 7 Gear,"str, farve",Panther Black Matt,62,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
simple,2015-kildemoes-Street-Flow-7gear-herre-config,YKK7475502,2015 Kildemoes Street Flow 7 Gear,"str, farve",Platinum Matt,55,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
simple,2015-kildemoes-Street-Flow-7gear-herre-config,YKK7475902,2015 Kildemoes Street Flow 7 Gear,"str, farve",Platinum Matt,59,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
simple,2015-kildemoes-Street-Flow-7gear-herre-config,YKK7475503,2015 Kildemoes Street Flow 7 Gear,"str, farve",Black Gold Matt,55,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
simple,2015-kildemoes-Street-Flow-7gear-herre-config,YKK7475903,2015 Kildemoes Street Flow 7 Gear,"str, farve",Black Gold Matt,59,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
config,,2015-kildemoes-Street-Flow-7gear-dame-config,2015 Kildemoes Street Flow 7 Gear,,,,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,"DAME, Citybike"
simple,2015-kildemoes-Street-Flow-7gear-dame-config,YKK7574301,2015 Kildemoes Street Flow 7 Gear,"str, farve",Scarlet Black Matt,43,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
simple,2015-kildemoes-Street-Flow-7gear-dame-config,YKK7574701,2015 Kildemoes Street Flow 7 Gear,"str, farve",Scarlet Black Matt,47,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
simple,2015-kildemoes-Street-Flow-7gear-dame-config,YKK7575101,2015 Kildemoes Street Flow 7 Gear,"str, farve",Scarlet Black Matt,51,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
simple,2015-kildemoes-Street-Flow-7gear-dame-config,YKK7575501,2015 Kildemoes Street Flow 7 Gear,"str, farve",Scarlet Black Matt,55,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
simple,2015-kildemoes-Street-Flow-7gear-dame-config,YKK7575102,2015 Kildemoes Street Flow 7 Gear,"str, farve",Black Purple Matt,51,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
simple,2015-kildemoes-Street-Flow-7gear-dame-config,YKK7575502,2015 Kildemoes Street Flow 7 Gear,"str, farve",Black Purple Matt,55,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
simple,2015-kildemoes-Street-Flow-7gear-dame-config,YKK7575103,2015 Kildemoes Street Flow 7 Gear,"str, farve",Crystal Blue,51,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
simple,2015-kildemoes-Street-Flow-7gear-dame-config,YKK7575503,2015 Kildemoes Street Flow 7 Gear,"str, farve",Crystal Blue,55,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og fodbremse","Street Flow har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, fodbremse, skærm, bagagebærer, lås, baglygte X3 dæk 700x32c",10kg,"4,999.00",,
config,,2015-kildemoes-Street-Sport-7gear-herre-config,2015 Kildemoes Street Sport 7 Gear,,,,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og  Rullebremser","Street Sport har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, IM45 Rullebremser, indfarvet bagagebærer, indfarvet skærme, lås, baglygte, X3 dæk 700x28c",10kg,"5,999.00",,"HERRE, Citybikes&klassik"
simple,2015-kildemoes-Street-Sport-7gear-herre-config,YKK7275101,2015 Kildemoes Street Sport 7 Gear,"str, farve",Platinum Matt,51,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og  Rullebremser","Street Sport har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, IM45 Rullebremser, indfarvet bagagebærer, indfarvet skærme, lås, baglygte, X3 dæk 700x28c",10kg,"5,999.00",,
simple,2015-kildemoes-Street-Sport-7gear-herre-config,YKK7275501,2015 Kildemoes Street Sport 7 Gear,"str, farve",Platinum Matt,55,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og  Rullebremser","Street Sport har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, IM45 Rullebremser, indfarvet bagagebærer, indfarvet skærme, lås, baglygte, X3 dæk 700x28c",10kg,"5,999.00",,
simple,2015-kildemoes-Street-Sport-7gear-herre-config,YKK7275901,2015 Kildemoes Street Sport 7 Gear,"str, farve",Platinum Matt,59,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og  Rullebremser","Street Sport har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, IM45 Rullebremser, indfarvet bagagebærer, indfarvet skærme, lås, baglygte, X3 dæk 700x28c",10kg,"5,999.00",,
simple,2015-kildemoes-Street-Sport-7gear-herre-config,YKK7276201,2015 Kildemoes Street Sport 7 Gear,"str, farve",Platinum Matt,62,,"Komfortabel, Praktisk og lidt sporty Citybike med indvendige gear og  Rullebremser","Street Sport har en lettere fremadrettet kørestiling, samt gode styreegenskaber pga. en længere afstand mellem hjulene end på sportscyklerne. Stadig med mulighed for en hurtiger fremdrift end på de City modellerne. Alu stel, 7 indvendige Shimano Nexus gear, IM45 Rullebremser, indfarvet bagagebærer, indfarvet skærme, lås, baglygte, X3 dæk 700x28c",10kg,"5,999.00",,
